id,prob
37662224,0.6949
37741884,0.8957
36804663,0.7208
37642222,0.8894
37742129,0.9355
37854423,0.775
37822018,0.8328
36109709,0.8029
37791988,0.8677
37822030,0.7928
37692106,0.8194
37631992,0.8738
37651933,0.7496
37811785,0.8751
37661932,0.9558
37702003,0.7281
37641966,0.8455
37661950,0.8358
37661936,0.8832
37831998,0.7289
37802030,0.54
37761127,0.8997
37831974,0.8486
36400279,0.9121
37801983,0.679
37621910,0.9251
37601999,0.9003
37671926,0.6634
37831861,0.6166
37841743,0.8217
37752007,0.6224
37691982,0.8815
37691975,0.5835
37761908,0.7333
37681953,0.7794
37731824,0.84
37701802,0.9219
37831843,0.9292
37681636,0.556
37711880,0.7225
37691888,0.7071
37761254,0.7334
37761825,0.8752
37751902,0.6266
37761758,0.6557
37821828,0.8452
37771373,0.7538
37831894,0.9773
37720167,0.6459
37681303,0.8007
37611935,0.7499
37611902,0.8141
37791772,0.7264
37691828,0.5102
37611956,0.8809
37801825,0.7737
37731794,0.9525
37741729,0.7599
37781916,0.5681
37641760,0.9245
37721827,0.7299
37630954,0.6515
37831821,0.8187
37711792,0.7665
36039943,0.6743
37831763,0.7614
37601834,0.5535
37781802,0.4637
37841694,0.9176
37801612,0.7119
37771756,0.9461
37801349,0.5844
37821702,0.9036
37831666,0.839
37811463,0.9548
37711705,0.5445
37621731,0.8224
37701695,0.8969
37821675,0.8203
37671710,0.6534
37741676,0.864
37711575,0.7884
11335677,0.8411
37681714,0.8578
37731698,0.8316
37741195,0.5216
37690495,0.8196
37661596,0.5872
37731642,0.537
37217579,0.9225
37821608,0.904
37831402,0.8654
37841570,0.6517
37831639,0.7556
37601716,0.9622
37127479,0.8095
37711641,0.8656
37841552,0.8323
37631643,0.9163
37831674,0.8288
37600999,0.613
36059066,0.6992
37771625,0.6854
37761587,0.7988
37641562,0.7775
36743141,0.7885
37811432,0.4997
37631545,0.8763
37661515,0.8785
37711552,0.9052
37671547,0.7835
37681471,0.7988
37147785,0.9062
37771542,0.7162
37107399,0.6913
37841472,0.9463
37761554,0.6803
37621413,0.8718
37631536,0.9693
37601584,0.833
37751428,0.6786
37711505,0.791
37611567,0.9661
37681506,0.9312
37841426,0.892
37781601,0.9416
37711490,0.6868
37701318,0.9415
37631502,0.7223
37841429,0.8327
37800714,0.7754
37831477,0.9615
37761295,0.8938
37621513,0.7464
37830811,0.509
37661426,0.8349
37621480,0.9311
37207932,0.9681
37661445,0.7944
37611542,0.8812
37621461,0.9419
37601076,0.9
36019516,0.9494
16402028,0.9492
37641419,0.8107
37811487,0.9125
37620902,0.6058
37691476,0.6454
37831382,0.6903
37651373,0.8666
37601500,0.9011
37631386,0.9193
37601439,0.9606
37831271,0.8238
37631404,0.8794
37731349,0.7017
37601467,0.8751
37741410,0.8296
37631364,0.9345
37631387,0.8643
37771351,0.7169
37601493,0.9452
37800951,0.8601
37651345,0.8084
37801469,0.8767
37287167,0.8511
37651312,0.9031
37147634,0.9465
37771331,0.6898
37641323,0.782
37841307,0.8876
37811352,0.8223
36049003,0.6692
37711342,0.9587
37691384,0.9151
37831326,0.8372
37771322,0.8817
37307321,0.8435
37801423,0.8219
37631346,0.9626
37761323,0.9151
37661321,0.9153
